game,genre,year_released,units_sold_millions
 Minecraft,Sandbox,2009,238.0
 Grand Theft Auto V,Action Adventure,2013,135.0
 Wii Sports,Sports,2006,82.9
 Super Mario Bros.,Platformer,1985,63.33
 Pokémon Red/Green/Blue/Yellow,RPG,1996,59.52
 PlayerUnknown's Battlegrounds,Battle Royale,2017,70.0
 Sonic the Hedgehog,Platformer,1991,44.146
 Wii Fit,Fitness,2007,43.8
 Pokémon Gold/Silver/Crystal,RPG,1999,42.21
 Super Mario Bros. 3,Platformer,1988,39.52
 Super Mario Bros. 2,Platformer,1986,38.39
 Mario Kart Wii,Racing,2008,37.1
 Pokémon Ruby/Sapphire/Emerald,RPG,2002,36.6
 Super Mario World,Platformer,1990,34.183
 Wii Sports Resort,Sports,2009,33.08
 New Super Mario Bros.,Platformer,2006,30.8
 New Super Mario Bros. Wii,Platformer,2009,30.2
 Duck Hunt,Lightgun Shooter,1984,28.31
 Wii Play,Party,2006,28.02
 Grand Theft Auto: San Andreas,Action Adventure,2004,27.5
 Call of Duty: Modern Warfare 3,FPS,2011,26.5
 Pokémon Diamond/Pearl/Platinum,RPG,2006,25.27
 Grand Theft Auto IV,Action Adventure,2008,25.0
 Call of Duty: Black Ops,FPS,2010,25.0
Kinect Adventures,Sports,2010,24.0
 Call of Duty: Black Ops II,FPS,2012,24.0
FIFA 18,Sports,2017,24.0
 Nintendogs,Sim,2005,23.96
 Pokémon Sun and Moon,RPG,2016,23.61
 Mario Kart DS,Racing,2005,23.6
 Super Mario 64,Platformer,1996,23.24
 Call of Duty: Modern Warfare 2,FPS,2009,22.0
 Street Fighter II,Fighting,1991,20.78
 Call of Duty: WWII,FPS,2017,20.62
 Mario Kart 8,Racing,2014,20.16
 Frogger,Action,1981,20.0
 Terraria,Platformer,2011,20.0
 The Sims 2,Sim,2004,20.0
 The Elder Scrolls V: Skyrim,Action RPG,2011,20.0
 Brain Age,Puzzle,2005,19.01
 Call of Duty: Ghosts,FPS,2013,19.0
 Super Mario Land,Platformer,1989,18.371
 Grand Theft Auto: Vice City,Action Adventure,2002,17.5
 Gran Turismo 3: A-Spec,Racing Sim,2001,16.45
 Pokémon X and Y,RPG,2013,16.29
 Gran Turismo 5,Racing Sim,2010,16.01
 The Sims,Life Sim,2000,16.0
 Call of Duty 4: Modern Warfare,FPS,2007,15.7
 Call of Duty: World at War,FPS,2008,15.7
 Pokémon Black and White,RPG,2010,15.64
 Diablo III,RPG,2012,15.0
